Date,Time,BoxID - rename to Source,UserID,Latitude,Longitude,Quality, Satellites - Rename to Accuracy,Altitude,Speed,PLMN,Network,ScanType,TAC- rename to LAC / TAC,CellID - rename to Serving CID,ShortCellID - reanme to Sector ID,eNB - reanme to eNB / gNB,PCI - reanme to PSC / PCI,EARFCN - reanme to Channel,PWR,RSRQ - reanme to Quality,RSRP - reanme to Power,DRX,CQI,N1_TAC,N1_CellID - rename to N1_CID,N1_ShortCellID,N1_eNB,N1_PCI - rename to N1_PSC/PCI,N1_EARFCN - rename to N1_Channel,N1_PWR,N1_RSRQ,N1_RSRP,N1_DRX,N1_CQI,N2_TAC,N2_CellID - rename to N2_CID,N2_ShortCellID,N2_eNB,N2_PCI - rename to N2_PSC/PCI,N1_EARFCN - rename to N1_Channel,N2_PWR,N2_RSRQ,N2_RSRP,N2_DRX,N2_CQI,N3_TAC,N3_CellID - rename to N3_CID,N3_ShortCellID,N3_eNB,N3_PCI - rename to N3_PSC/PCI,N3_EARFCN - rename to N3_Channel,N3_PWR,N3_RSRQ,N3_RSRP,N3_DRX,N3_CQI,N4_TAC,N4_CellID - rename to N4_CID,N4_ShortCellID,N4_eNB,N4_PCI - rename to N4_PSC/PCI,N4_EARFCN - rename to N4_Channel,N4_PWR,N4_RSRQ,N4_RSRP,N4_DRX,N4_CQI,N5_TAC,N5_CellID - rename to N5_CID,N5_ShortCellID,N5_eNB,N5_PCI - rename to N5_PSC/PCI,N5_EARFCN - rename to N5_Channel,N5_PWR,N5_RSRQ,N5_RSRP,N5_DRX,N5_CQI,N6_TAC,N6_CellID - rename to N6_CID,N6_ShortCellID,N6_eNB,N6_PCI - rename to N6_PSC/PCI,N6_EARFCN - rename to N6_Channel,N6_PWR,N6_RSRQ,N6_RSRP,N6_DRX,N6_CQI,N7_TAC,N7_CellID,N7_ShortCellID,N7_eNB,N7_PCI,N7_EARFCN,N7_PWR,N7_RSRQ,N7_RSRP,N7_DRX,N7_CQI,N8_TAC,N8_CellID,N8_ShortCellID,N8_eNB,N8_PCI,N8_EARFCN,N8_PWR,N8_RSRQ,N8_RSRP,N8_DRX,N8_CQI,N9_TAC,N9_CellID,N9_ShortCellID,N9_eNB,N9_PCI,N9_EARFCN,N9_PWR,N9_RSRQ,N9_RSRP,N9_DRX,N9_CQI,N10_TAC,N10_CellID,N10_ShortCellID,N10_eNB,N10_PCI,N10_EARFCN,N10_PWR,N10_RSRQ,N10_RSRP,N10_DRX,N10_CQI,N11_TAC,N11_CellID,N11_ShortCellID,N11_eNB,N11_PCI,N11_EARFCN,N11_PWR,N11_RSRQ,N11_RSRP,N11_DRX,N11_CQI,N12_TAC,N12_CellID,N12_ShortCellID,N12_eNB,N12_PCI,N12_EARFCN,N12_PWR,N12_RSRQ,N12_RSRP,N12_DRX,N12_CQI,N13_TAC,N13_CellID,N13_ShortCellID,N13_eNB,N13_PCI,N13_EARFCN,N13_PWR,N13_RSRQ,N13_RSRP,N13_DRX,N13_CQI,N14_TAC,N14_CellID,N14_ShortCellID,N14_eNB,N14_PCI,N14_EARFCN,N14_PWR,N14_RSRQ,N14_RSRP,N14_DRX,N14_CQI,N15_TAC,N15_CellID,N15_ShortCellID,N15_eNB,N15_PCI,N15_EARFCN,N15_PWR,N15_RSRQ,N15_RSRP,N15_DRX,N15_CQI
25/05/2024,10:53:41,3.56151E+14,24May25_105434.6.nmf,53.4198647,-1.4532688,1,14,174,0,23415,Vodafone Ltd.,00000000 10000000,40967,3743246,14,14622,423,323,-69,-9,-97,,,40967,3743256,24,14622,424,323,-68,-11,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/05/2024,10:53:43,3.56151E+14,24May25_105434.6.nmf,53.4198647,-1.4532688,1,14,174,0,23415,Vodafone Ltd.,00000000 10000000,40967,3743246,14,14622,423,323,-70,-9,-98,,,40967,3743256,24,14622,424,323,-68,-11,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/05/2024,10:53:43,3.56151E+14,24May25_105434.6.nmf,53.4198647,-1.4532688,1,14,174,0,23415,Vodafone Ltd.,00000000 10000000,40967,3743246,14,14622,423,323,-70,-9,-98,,,40967,3743256,24,14622,424,323,-69,-11,-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/05/2024,10:53:45,3.56151E+14,24May25_105434.6.nmf,53.4198647,-1.4532688,1,13,174,0,23415,Vodafone Ltd.,00000000 10000000,40967,3743246,14,14622,423,323,-70,-9,-98,,,40967,3743256,24,14622,424,323,-70,-11,-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/05/2024,10:53:45,3.56151E+14,24May25_105434.6.nmf,53.4198647,-1.4532688,1,13,174,0,23415,Vodafone Ltd.,00000000 10000000,40967,3743246,14,14622,423,323,-70,-8,-97,,,40967,3743256,24,14622,424,323,-68,-12,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/05/2024,10:53:46,3.56151E+14,24May25_105434.6.nmf,53.4198647,-1.4532688,1,13,174,0,23415,Vodafone Ltd.,00000000 10000000,40967,3743246,14,14622,423,323,-70,-8,-97,,,40967,3743256,24,14622,424,323,-68,-11,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/05/2024,10:53:47,3.56151E+14,24May25_105434.6.nmf,53.4198647,-1.4532688,1,13,174,0,23415,Vodafone Ltd.,00000000 10000000,40967,3743246,14,14622,423,323,-69,-11,-100,,,40967,3743256,24,14622,424,323,-69,-12,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/05/2024,10:53:48,3.56151E+14,24May25_105434.6.nmf,53.4198647,-1.4532688,1,13,173,0,23415,Vodafone Ltd.,00000000 10000000,40967,3743246,14,14622,423,323,-70,-11,-100,,,40967,3743256,24,14622,424,323,-69,-11,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/05/2024,10:53:49,3.56151E+14,24May25_105434.6.nmf,53.4198647,-1.4532688,1,13,174,0,23415,Vodafone Ltd.,00000000 10000000,40967,3743246,14,14622,423,323,-69,-11,-99,,,40967,3743256,24,14622,424,323,-70,-11,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/05/2024,10:53:50,3.56151E+14,24May25_105434.6.nmf,53.4198647,-1.4532688,1,12,174,0,23415,Vodafone Ltd.,00000000 10000000,40967,3743246,14,14622,423,323,-69,-12,-101,,,40967,3743256,24,14622,424,323,-69,-12,-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
